Year,City,NOC,Country,GoldMedals,SilverMedals,BronzeMedals,TotalMedals,ParticipationStatus,BoycottBy
1964,Tokyo,GER,United Team of Germany,10.0,22.0,18.0,50.0,participated,
1964,Tokyo,GHA,Ghana,0.0,0.0,1.0,1.0,participated,
1964,Tokyo,HUN,Hungary,10.0,7.0,5.0,22.0,participated,
1964,Tokyo,IND,India,1.0,0.0,0.0,1.0,participated,
1964,Tokyo,IRI,Iran,0.0,0.0,2.0,2.0,participated,
1964,Tokyo,IRL,Ireland,0.0,0.0,1.0,1.0,participated,
1964,Tokyo,ITA,Italy,10.0,10.0,7.0,27.0,participated,
1964,Tokyo,JPN,Japan,16.0,5.0,8.0,29.0,participated,
1964,Tokyo,KEN,Kenya,0.0,0.0,1.0,1.0,participated,
1964,Tokyo,KOR,South Korea,0.0,2.0,1.0,3.0,participated,
1964,Tokyo,MEX,Mexico,0.0,0.0,1.0,1.0,participated,
1964,Tokyo,NED,Netherlands,2.0,4.0,4.0,10.0,participated,
1964,Tokyo,NGR,Nigeria,0.0,0.0,1.0,1.0,participated,
1964,Tokyo,NZL,New Zealand,3.0,0.0,2.0,5.0,participated,
1964,Tokyo,PAK,Pakistan,0.0,1.0,0.0,1.0,participated,
1964,Tokyo,PHI,Philippines,0.0,1.0,0.0,1.0,participated,
