Year,City,NOC,Country,GoldMedals,SilverMedals,BronzeMedals,TotalMedals,ParticipationStatus,BoycottBy
1980,Moskva,BUL,Bulgaria,8.0,16.0,17.0,41.0,participated,
1980,Moskva,CUB,Cuba,8.0,7.0,5.0,20.0,participated,
1980,Moskva,DEN,Denmark,2.0,1.0,2.0,5.0,participated,
1980,Moskva,ESP,Spain,1.0,3.0,2.0,6.0,participated,
1980,Moskva,ETH,Ethiopia,2.0,0.0,2.0,4.0,participated,
1980,Moskva,FIN,Finland,3.0,1.0,4.0,8.0,participated,
1980,Moskva,FRA,France,6.0,5.0,3.0,14.0,participated,
1980,Moskva,GBR,Great Britain,5.0,7.0,9.0,21.0,participated,
1980,Moskva,GDR,East Germany,47.0,37.0,42.0,126.0,participated,
1980,Moskva,GRE,Greece,1.0,0.0,2.0,3.0,participated,
1980,Moskva,GUY,Guyana,0.0,0.0,1.0,1.0,participated,
1980,Moskva,HUN,Hungary,7.0,10.0,15.0,32.0,participated,
1980,Moskva,IND,India,1.0,0.0,0.0,1.0,participated,
1980,Moskva,IRL,Ireland,0.0,1.0,1.0,2.0,participated,
1980,Moskva,ITA,Italy,8.0,3.0,4.0,15.0,participated,
1980,Moskva,JAM,Jamaica,0.0,0.0,3.0,3.0,participated,
1980,Moskva,LIB,Lebanon,0.0,0.0,1.0,1.0,participated,
1980,Moskva,MEX,Mexico,0.0,1.0,3.0,4.0,participated,
1980,Moskva,MGL,Mongolia,0.0,2.0,2.0,4.0,participated,
1980,Moskva,NED,Netherlands,0.0,1.0,2.0,3.0,participated,
1980,Moskva,POL,Poland,3.0,14.0,15.0,32.0,participated,
1980,Moskva,PRK,North Korea,0.0,3.0,2.0,5.0,participated,
1980,Moskva,ROU,Romania,6.0,6.0,13.0,25.0,participated,
1980,Moskva,SUI,Switzerland,2.0,0.0,0.0,2.0,participated,
1980,Moskva,SWE,Sweden,3.0,3.0,6.0,12.0,participated,
1980,Moskva,TAN,Tanzania,0.0,2.0,0.0,2.0,participated,
1980,Moskva,TCH,Czechoslovakia,2.0,3.0,9.0,14.0,participated,
1980,Moskva,UGA,Uganda,0.0,1.0,0.0,1.0,participated,
1980,Moskva,URS,Soviet Union,80.0,69.0,46.0,195.0,participated,
1980,Moskva,USA,United States,,,,,boycott,USA
1980,Moskva,VEN,Venezuela,0.0,1.0,0.0,1.0,participated,
1980,Moskva,YUG,Yugoslavia,2.0,3.0,4.0,9.0,participated,
1980,Moskva,ZIM,Zimbabwe,1.0,0.0,0.0,1.0,participated,
1984,Los Angeles,ALG,Algeria,0.0,0.0,2.0,2.0,participated,
1984,Los Angeles,AUS,Australia,4.0,8.0,12.0,24.0,participated,
1984,Los Angeles,AUT,Austria,1.0,1.0,1.0,3.0,participated,
1984,Los Angeles,BEL,Belgium,1.0,1.0,2.0,4.0,participated,
1984,Los Angeles,BRA,Brazil,1.0,5.0,2.0,8.0,participated,
1984,Los Angeles,CAN,Canada,10.0,18.0,16.0,44.0,participated,
1984,Los Angeles,CHN,China,15.0,8.0,9.0,32.0,participated,
1984,Los Angeles,CIV,Cote d'Ivoire,0.0,1.0,0.0,1.0,participated,
1984,Los Angeles,CMR,Cameroon,0.0,0.0,1.0,1.0,participated,
1984,Los Angeles,COL,Colombia,0.0,1.0,0.0,1.0,participated,
1984,Los Angeles,DEN,Denmark,0.0,3.0,3.0,6.0,participated,
1984,Los Angeles,DOM,Dominican Republic,0.0,0.0,1.0,1.0,participated,
1984,Los Angeles,EGY,Egypt,0.0,1.0,0.0,1.0,participated,
1984,Los Angeles,ESP,Spain,1.0,2.0,2.0,5.0,participated,
1984,Los Angeles,FIN,Finland,4.0,2.0,6.0,12.0,participated,
1984,Los Angeles,FRA,France,5.0,7.0,16.0,28.0,participated,
1984,Los Angeles,FRG,West Germany,17.0,19.0,23.0,59.0,participated,
1984,Los Angeles,GBR,Great Britain,5.0,11.0,21.0,37.0,participated,
1984,Los Angeles,GRE,Greece,0.0,1.0,1.0,2.0,participated,
1984,Los Angeles,IRL,Ireland,0.0,1.0,0.0,1.0,participated,
1984,Los Angeles,ISL,Iceland,0.0,0.0,1.0,1.0,participated,
1984,Los Angeles,ITA,Italy,14.0,6.0,12.0,32.0,participated,
1984,Los Angeles,JAM,Jamaica,0.0,1.0,2.0,3.0,participated,
1984,Los Angeles,JPN,Japan,10.0,7.0,14.0,31.0,participated,
1984,Los Angeles,KEN,Kenya,1.0,0.0,2.0,3.0,participated,
1984,Los Angeles,KOR,South Korea,6.0,6.0,7.0,19.0,participated,
1984,Los Angeles,MAR,Morocco,2.0,0.0,0.0,2.0,participated,
1984,Los Angeles,MEX,Mexico,2.0,3.0,1.0,6.0,participated,
1984,Los Angeles,NED,Netherlands,5.0,2.0,6.0,13.0,participated,
1984,Los Angeles,NGR,Nigeria,0.0,1.0,1.0,2.0,participated,
1984,Los Angeles,NOR,Norway,0.0,1.0,2.0,3.0,participated,
1984,Los Angeles,NZL,New Zealand,8.0,1.0,2.0,11.0,participated,
1984,Los Angeles,PAK,Pakistan,1.0,0.0,0.0,1.0,participated,
1984,Los Angeles,PER,Peru,0.0,1.0,0.0,1.0,participated,
1984,Los Angeles,POR,Portugal,1.0,0.0,2.0,3.0,participated,
1984,Los Angeles,PUR,Puerto Rico,0.0,1.0,1.0,2.0,participated,
1984,Los Angeles,ROU,Romania,19.0,16.0,17.0,52.0,participated,
1984,Los Angeles,SUI,Switzerland,0.0,4.0,4.0,8.0,participated,
1984,Los Angeles,SWE,Sweden,2.0,11.0,6.0,19.0,participated,
1984,Los Angeles,SYR,Syria,0.0,1.0,0.0,1.0,participated,
1984,Los Angeles,THA,Thailand,0.0,1.0,0.0,1.0,participated,
1984,Los Angeles,TPE,Chinese Taipei,0.0,0.0,1.0,1.0,participated,
1984,Los Angeles,TUR,Turkey,0.0,0.0,3.0,3.0,participated,
1984,Los Angeles,URS,Soviet Union,,,,,boycott,URS
1984,Los Angeles,USA,United States,82.0,61.0,30.0,173.0,participated,
1984,Los Angeles,VEN,Venezuela,0.0,0.0,3.0,3.0,participated,
1984,Los Angeles,YUG,Yugoslavia,7.0,4.0,7.0,18.0,participated,
1984,Los Angeles,ZAM,Zambia,0.0,0.0,1.0,1.0,participated,
1988,Seoul,AHO,Netherlands Antilles,0.0,1.0,0.0,1.0,participated,
1988,Seoul,ARG,Argentina,0.0,1.0,1.0,2.0,participated,
1988,Seoul,AUS,Australia,3.0,6.0,5.0,14.0,participated,
1988,Seoul,AUT,Austria,1.0,0.0,0.0,1.0,participated,
1988,Seoul,BEL,Belgium,0.0,0.0,2.0,2.0,participated,
1988,Seoul,BRA,Brazil,1.0,2.0,3.0,6.0,participated,
1988,Seoul,BUL,Bulgaria,10.0,12.0,13.0,35.0,participated,
1988,Seoul,CAN,Canada,3.0,2.0,5.0,10.0,participated,
1988,Seoul,CHI,Chile,0.0,1.0,0.0,1.0,participated,
1988,Seoul,CHN,China,5.0,11.0,12.0,28.0,participated,
1988,Seoul,COL,Colombia,0.0,0.0,1.0,1.0,participated,
1988,Seoul,CRC,Costa Rica,0.0,1.0,0.0,1.0,participated,
1988,Seoul,DEN,Denmark,2.0,1.0,1.0,4.0,participated,
1988,Seoul,DJI,Djibouti,0.0,0.0,1.0,1.0,participated,
1988,Seoul,ESP,Spain,1.0,1.0,2.0,4.0,participated,
1988,Seoul,FIN,Finland,1.0,1.0,2.0,4.0,participated,
1988,Seoul,FRA,France,6.0,4.0,6.0,16.0,participated,
1988,Seoul,FRG,West Germany,11.0,14.0,15.0,40.0,participated,
1988,Seoul,GBR,Great Britain,5.0,10.0,9.0,24.0,participated,
1988,Seoul,GDR,East Germany,37.0,35.0,30.0,102.0,participated,
1988,Seoul,GRE,Greece,0.0,0.0,1.0,1.0,participated,
1988,Seoul,HUN,Hungary,11.0,6.0,6.0,23.0,participated,
1988,Seoul,INA,Indonesia,0.0,1.0,0.0,1.0,participated,
1988,Seoul,IRI,Iran,0.0,1.0,0.0,1.0,participated,
1988,Seoul,ISV,United States Virgin Islands,0.0,1.0,0.0,1.0,participated,
1988,Seoul,ITA,Italy,6.0,4.0,4.0,14.0,participated,
1988,Seoul,JAM,Jamaica,0.0,2.0,0.0,2.0,participated,
1988,Seoul,JPN,Japan,4.0,3.0,7.0,14.0,participated,
1988,Seoul,KEN,Kenya,5.0,2.0,2.0,9.0,participated,
1988,Seoul,KOR,South Korea,12.0,10.0,11.0,33.0,participated,
1988,Seoul,MAR,Morocco,1.0,0.0,2.0,3.0,participated,
