Year,City,NOC,Country,GwCodes,MappingStatus,MappingReason,GoldMedals,SilverMedals,BronzeMedals,TotalMedals,TotalMedalsAwarded,GoldMedalsAwarded,TotalMedalShare,GoldMedalShare,ParticipationStatus,BoycottBy
1952,Helsinki,AHO,Netherlands Antilles,,excluded_non_sovereign,Olympic delegation does not correspond to an independent sovereign-state geometry in the adopted CShapes choropleth.,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,ARG,Argentina,160,mapped,,1.0,2.0,2.0,5.0,457,149,0.0109409190371991,0.0067114093959731,participated,
1952,Helsinki,AUS,Australia,900,mapped,,6.0,2.0,3.0,11.0,457,149,0.024070021881838,0.0402684563758389,participated,
1952,Helsinki,AUT,Austria,305,mapped,,0.0,1.0,1.0,2.0,457,149,0.0043763676148796,0.0,participated,
1952,Helsinki,BAH,Bahamas,31,mapped,,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,BEL,Belgium,211,mapped,,2.0,2.0,0.0,4.0,457,149,0.0087527352297593,0.0134228187919463,participated,
1952,Helsinki,BER,Bermuda,,excluded_non_sovereign,Olympic delegation does not correspond to an independent sovereign-state geometry in the adopted CShapes choropleth.,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,BRA,Brazil,140,mapped,,1.0,0.0,2.0,3.0,457,149,0.0065645514223194,0.0067114093959731,participated,
1952,Helsinki,BUL,Bulgaria,355,mapped,,0.0,0.0,1.0,1.0,457,149,0.0021881838074398,0.0,participated,
1952,Helsinki,CAN,Canada,20,mapped,,1.0,2.0,0.0,3.0,457,149,0.0065645514223194,0.0067114093959731,participated,
1952,Helsinki,CHI,Chile,155,mapped,,0.0,2.0,0.0,2.0,457,149,0.0043763676148796,0.0,participated,
1952,Helsinki,CHN,China,710,mapped,,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,CUB,Cuba,40,mapped,,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,DEN,Denmark,390,mapped,,2.0,1.0,3.0,6.0,457,149,0.0131291028446389,0.0134228187919463,participated,
1952,Helsinki,EGY,Egypt,651,mapped,,0.0,0.0,1.0,1.0,457,149,0.0021881838074398,0.0,participated,
1952,Helsinki,ESP,Spain,230,mapped,,0.0,1.0,0.0,1.0,457,149,0.0021881838074398,0.0,participated,
1952,Helsinki,FIN,Finland,375,mapped,,6.0,3.0,13.0,22.0,457,149,0.0481400437636761,0.0402684563758389,participated,
1952,Helsinki,FRA,France,220,mapped,,6.0,6.0,6.0,18.0,457,149,0.0393873085339168,0.0402684563758389,participated,
1952,Helsinki,GBR,Great Britain,200,mapped,,1.0,2.0,8.0,11.0,457,149,0.024070021881838,0.0067114093959731,participated,
1952,Helsinki,GER,Germany,260,mapped,,0.0,7.0,17.0,24.0,457,149,0.0525164113785558,0.0,participated,
1952,Helsinki,GHA,Ghana,452,mapped,,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,GRE,Greece,350,mapped,,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,GUA,Guatemala,90,mapped,,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,GUY,Guyana,110,mapped,,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,HKG,Hong Kong,,excluded_non_sovereign,Olympic delegation does not correspond to an independent sovereign-state geometry in the adopted CShapes choropleth.,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,HUN,Hungary,310,mapped,,16.0,10.0,16.0,42.0,457,149,0.0919037199124726,0.1073825503355704,participated,
1952,Helsinki,INA,Indonesia,850,mapped,,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,IND,India,750,mapped,,1.0,0.0,1.0,2.0,457,149,0.0043763676148796,0.0067114093959731,participated,
1952,Helsinki,IRI,Iran,630,mapped,,0.0,3.0,4.0,7.0,457,149,0.0153172866520787,0.0,participated,
1952,Helsinki,IRL,Ireland,205,mapped,,0.0,1.0,0.0,1.0,457,149,0.0021881838074398,0.0,participated,
1952,Helsinki,ISL,Iceland,395,mapped,,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,ISR,Israel,666,mapped,,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,ITA,Italy,325,mapped,,8.0,9.0,4.0,21.0,457,149,0.0459518599562363,0.0536912751677852,participated,
