Year,City,NOC,Country,GwCodes,MappingStatus,MappingReason,GoldMedals,SilverMedals,BronzeMedals,TotalMedals,TotalMedalsAwarded,GoldMedalsAwarded,TotalMedalShare,GoldMedalShare,ParticipationStatus,BoycottBy
1952,Helsinki,AHO,Netherlands Antilles,,excluded_non_sovereign,Olympic delegation does not correspond to an independent sovereign-state geometry in the adopted CShapes choropleth.,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,ARG,Argentina,160,mapped,,1.0,2.0,2.0,5.0,457,149,0.010940919037199124,0.006711409395973154,participated,
1952,Helsinki,AUS,Australia,900,mapped,,6.0,2.0,3.0,11.0,457,149,0.024070021881838075,0.040268456375838924,participated,
1952,Helsinki,AUT,Austria,305,mapped,,0.0,1.0,1.0,2.0,457,149,0.00437636761487965,0.0,participated,
1952,Helsinki,BAH,Bahamas,31,mapped,,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,BEL,Belgium,211,mapped,,2.0,2.0,0.0,4.0,457,149,0.0087527352297593,0.013422818791946308,participated,
1952,Helsinki,BER,Bermuda,,excluded_non_sovereign,Olympic delegation does not correspond to an independent sovereign-state geometry in the adopted CShapes choropleth.,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,BRA,Brazil,140,mapped,,1.0,0.0,2.0,3.0,457,149,0.006564551422319475,0.006711409395973154,participated,
1952,Helsinki,BUL,Bulgaria,355,mapped,,0.0,0.0,1.0,1.0,457,149,0.002188183807439825,0.0,participated,
1952,Helsinki,CAN,Canada,20,mapped,,1.0,2.0,0.0,3.0,457,149,0.006564551422319475,0.006711409395973154,participated,
1952,Helsinki,CHI,Chile,155,mapped,,0.0,2.0,0.0,2.0,457,149,0.00437636761487965,0.0,participated,
1952,Helsinki,CHN,China,710,mapped,,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,CUB,Cuba,40,mapped,,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
